,id,country,league,season,stage,winner
5402,5403,France,France Ligue 1,2009/2010,32,8592
5403,5404,France,France Ligue 1,2009/2010,32,9829
5404,5405,France,France Ligue 1,2009/2010,32,8583
5405,5406,France,France Ligue 1,2009/2010,32,9853
5406,5407,France,France Ligue 1,2009/2010,32,9941
5407,5408,France,France Ligue 1,2009/2010,32,9847
5408,5409,France,France Ligue 1,2009/2010,33,8583
5410,5411,France,France Ligue 1,2009/2010,33,8592
5412,5413,France,France Ligue 1,2009/2010,33,8639
5417,5418,France,France Ligue 1,2009/2010,33,8682
5418,5419,France,France Ligue 1,2009/2010,34,8639
5420,5421,France,France Ligue 1,2009/2010,34,8689
5421,5422,France,France Ligue 1,2009/2010,34,9748
5422,5423,France,France Ligue 1,2009/2010,34,8592
5424,5425,France,France Ligue 1,2009/2010,34,9831
5426,5427,France,France Ligue 1,2009/2010,34,4170
5427,5428,France,France Ligue 1,2009/2010,34,8583
5429,5430,France,France Ligue 1,2009/2010,35,9827
5431,5432,France,France Ligue 1,2009/2010,35,9855
5432,5433,France,France Ligue 1,2009/2010,35,8639
5434,5435,France,France Ligue 1,2009/2010,35,9748
5435,5436,France,France Ligue 1,2009/2010,35,9874
5436,5437,France,France Ligue 1,2009/2010,35,8588
5438,5439,France,France Ligue 1,2009/2010,36,9853
5441,5442,France,France Ligue 1,2009/2010,36,9748
5442,5443,France,France Ligue 1,2009/2010,36,8592
5443,5444,France,France Ligue 1,2009/2010,36,8481
5446,5447,France,France Ligue 1,2009/2010,36,10249
5447,5448,France,France Ligue 1,2009/2010,36,8639
5449,5450,France,France Ligue 1,2009/2010,37,9827
5450,5451,France,France Ligue 1,2009/2010,37,9855
5451,5452,France,France Ligue 1,2009/2010,37,8682
5452,5453,France,France Ligue 1,2009/2010,37,8639
5453,5454,France,France Ligue 1,2009/2010,37,9829
5454,5455,France,France Ligue 1,2009/2010,37,10249
5456,5457,France,France Ligue 1,2009/2010,37,9941
5458,5459,France,France Ligue 1,2009/2010,38,4170
5459,5460,France,France Ligue 1,2009/2010,38,8588
5460,5461,France,France Ligue 1,2009/2010,38,8689
5461,5462,France,France Ligue 1,2009/2010,38,9748
5462,5463,France,France Ligue 1,2009/2010,38,8592
5465,5466,France,France Ligue 1,2009/2010,38,10249
5466,5467,France,France Ligue 1,2009/2010,38,8583
5470,5471,France,France Ligue 1,2009/2010,4,8689
5471,5472,France,France Ligue 1,2009/2010,4,9748
5473,5474,France,France Ligue 1,2009/2010,4,10249
5474,5475,France,France Ligue 1,2009/2010,4,9847
5475,5476,France,France Ligue 1,2009/2010,4,9853
5476,5477,France,France Ligue 1,2009/2010,4,9874
5477,5478,France,France Ligue 1,2009/2010,4,9873
5478,5479,France,France Ligue 1,2009/2010,5,8583
5479,5480,France,France Ligue 1,2009/2010,5,9827
5480,5481,France,France Ligue 1,2009/2010,5,8592
5481,5482,France,France Ligue 1,2009/2010,5,8639
5482,5483,France,France Ligue 1,2009/2010,5,9748
5483,5484,France,France Ligue 1,2009/2010,5,9829
5484,5485,France,France Ligue 1,2009/2010,5,10249
5486,5487,France,France Ligue 1,2009/2010,5,9851
5488,5489,France,France Ligue 1,2009/2010,6,9827
5489,5490,France,France Ligue 1,2009/2010,6,9851
5491,5492,France,France Ligue 1,2009/2010,6,8689
5492,5493,France,France Ligue 1,2009/2010,6,8592
5493,5494,France,France Ligue 1,2009/2010,6,9829
5496,5497,France,France Ligue 1,2009/2010,6,9873
5497,5498,France,France Ligue 1,2009/2010,6,9941
5498,5499,France,France Ligue 1,2009/2010,7,8583
5499,5500,France,France Ligue 1,2009/2010,7,9827
5500,5501,France,France Ligue 1,2009/2010,7,8682
5503,5504,France,France Ligue 1,2009/2010,7,9748
5504,5505,France,France Ligue 1,2009/2010,7,9853
5505,5506,France,France Ligue 1,2009/2010,7,10249
5506,5507,France,France Ligue 1,2009/2010,7,8481
5507,5508,France,France Ligue 1,2009/2010,7,9873
5508,5509,France,France Ligue 1,2009/2010,8,8639
5509,5510,France,France Ligue 1,2009/2010,8,10249
5510,5511,France,France Ligue 1,2009/2010,8,9748
5511,5512,France,France Ligue 1,2009/2010,8,9829
5512,5513,France,France Ligue 1,2009/2010,8,9831
5514,5515,France,France Ligue 1,2009/2010,8,8583
5515,5516,France,France Ligue 1,2009/2010,8,9853
5516,5517,France,France Ligue 1,2009/2010,8,9874
5517,5518,France,France Ligue 1,2009/2010,8,8689
5518,5519,France,France Ligue 1,2009/2010,9,8583
5521,5522,France,France Ligue 1,2009/2010,9,8689
5522,5523,France,France Ligue 1,2009/2010,9,9874
5523,5524,France,France Ligue 1,2009/2010,9,9829
5524,5525,France,France Ligue 1,2009/2010,9,10249
5525,5526,France,France Ligue 1,2009/2010,9,8592
5526,5527,France,France Ligue 1,2009/2010,9,9941
5527,5528,France,France Ligue 1,2009/2010,9,9873
5529,5530,France,France Ligue 1,2010/2011,1,8481
5531,5532,France,France Ligue 1,2010/2011,1,7819
5532,5533,France,France Ligue 1,2010/2011,1,10249
5534,5535,France,France Ligue 1,2010/2011,1,9847
5536,5537,France,France Ligue 1,2010/2011,1,9874
5537,5538,France,France Ligue 1,2010/2011,1,9941
5539,5540,France,France Ligue 1,2010/2011,10,8521
5540,5541,France,France Ligue 1,2010/2011,10,8588
5541,5542,France,France Ligue 1,2010/2011,10,8592
5542,5543,France,France Ligue 1,2010/2011,10,9873
5543,5544,France,France Ligue 1,2010/2011,10,8481
5544,5545,France,France Ligue 1,2010/2011,10,8583
5545,5546,France,France Ligue 1,2010/2011,10,10249
5547,5548,France,France Ligue 1,2010/2011,10,9941
5548,5549,France,France Ligue 1,2010/2011,11,8583
5549,5550,France,France Ligue 1,2010/2011,11,8521
5550,5551,France,France Ligue 1,2010/2011,11,8481
5551,5552,France,France Ligue 1,2010/2011,11,8689
5552,5553,France,France Ligue 1,2010/2011,11,9748
5558,5559,France,France Ligue 1,2010/2011,12,108893
5560,5561,France,France Ligue 1,2010/2011,12,8588
5561,5562,France,France Ligue 1,2010/2011,12,8639
5562,5563,France,France Ligue 1,2010/2011,12,9829
5563,5564,France,France Ligue 1,2010/2011,12,9831
5564,5565,France,France Ligue 1,2010/2011,12,9847
5566,5567,France,France Ligue 1,2010/2011,12,8689
5568,5569,France,France Ligue 1,2010/2011,13,8583
5569,5570,France,France Ligue 1,2010/2011,13,9827
5571,5572,France,France Ligue 1,2010/2011,13,8639
5573,5574,France,France Ligue 1,2010/2011,13,9748
5576,5577,France,France Ligue 1,2010/2011,13,10249
5578,5579,France,France Ligue 1,2010/2011,14,9827
5579,5580,France,France Ligue 1,2010/2011,14,9748
5580,5581,France,France Ligue 1,2010/2011,14,8639
5581,5582,France,France Ligue 1,2010/2011,14,8481
5582,5583,France,France Ligue 1,2010/2011,14,10249
5583,5584,France,France Ligue 1,2010/2011,14,9847
5584,5585,France,France Ligue 1,2010/2011,14,9851
5586,5587,France,France Ligue 1,2010/2011,14,9874
5587,5588,France,France Ligue 1,2010/2011,14,8592
5588,5589,France,France Ligue 1,2010/2011,15,9941
5590,5591,France,France Ligue 1,2010/2011,15,8521
5591,5592,France,France Ligue 1,2010/2011,15,9874
5592,5593,France,France Ligue 1,2010/2011,15,8689
5594,5595,France,France Ligue 1,2010/2011,15,8592
5597,5598,France,France Ligue 1,2010/2011,15,9873
5600,5601,France,France Ligue 1,2010/2011,16,8639
5601,5602,France,France Ligue 1,2010/2011,16,9748
5602,5603,France,France Ligue 1,2010/2011,16,9831
5603,5604,France,France Ligue 1,2010/2011,16,9847
5604,5605,France,France Ligue 1,2010/2011,16,9851
5606,5607,France,France Ligue 1,2010/2011,16,9874
5607,5608,France,France Ligue 1,2010/2011,16,9941
5608,5609,France,France Ligue 1,2010/2011,17,8639
5613,5614,France,France Ligue 1,2010/2011,17,8689
5614,5615,France,France Ligue 1,2010/2011,17,9748
5615,5616,France,France Ligue 1,2010/2011,17,9853
5616,5617,France,France Ligue 1,2010/2011,17,8481
5617,5618,France,France Ligue 1,2010/2011,17,9847
5618,5619,France,France Ligue 1,2010/2011,18,8588
5619,5620,France,France Ligue 1,2010/2011,18,8639
5624,5625,France,France Ligue 1,2010/2011,18,9851
5625,5626,France,France Ligue 1,2010/2011,18,9853
5627,5628,France,France Ligue 1,2010/2011,18,9941
5631,5632,France,France Ligue 1,2010/2011,19,7819
5635,5636,France,France Ligue 1,2010/2011,19,9829
5636,5637,France,France Ligue 1,2010/2011,19,8481
5637,5638,France,France Ligue 1,2010/2011,19,9873
5638,5639,France,France Ligue 1,2010/2011,2,8588
5639,5640,France,France Ligue 1,2010/2011,2,9941
5641,5642,France,France Ligue 1,2010/2011,2,7819
5643,5644,France,France Ligue 1,2010/2011,2,9831
5645,5646,France,France Ligue 1,2010/2011,2,9851
5646,5647,France,France Ligue 1,2010/2011,2,9853
5647,5648,France,France Ligue 1,2010/2011,2,9873
5649,5650,France,France Ligue 1,2010/2011,20,7819
5650,5651,France,France Ligue 1,2010/2011,20,8588
5651,5652,France,France Ligue 1,2010/2011,20,9748
5652,5653,France,France Ligue 1,2010/2011,20,8592
5653,5654,France,France Ligue 1,2010/2011,20,10249
5654,5655,France,France Ligue 1,2010/2011,20,8639
5655,5656,France,France Ligue 1,2010/2011,20,9847
5656,5657,France,France Ligue 1,2010/2011,20,9851
5657,5658,France,France Ligue 1,2010/2011,20,9941
5658,5659,France,France Ligue 1,2010/2011,21,9847
5659,5660,France,France Ligue 1,2010/2011,21,9827
5660,5661,France,France Ligue 1,2010/2011,21,7819
5661,5662,France,France Ligue 1,2010/2011,21,8639
5662,5663,France,France Ligue 1,2010/2011,21,8689
5664,5665,France,France Ligue 1,2010/2011,21,10249
5665,5666,France,France Ligue 1,2010/2011,21,9853
5666,5667,France,France Ligue 1,2010/2011,21,9874
5667,5668,France,France Ligue 1,2010/2011,21,9873
5669,5670,France,France Ligue 1,2010/2011,22,8521
5670,5671,France,France Ligue 1,2010/2011,22,8689
5673,5674,France,France Ligue 1,2010/2011,22,8592
5674,5675,France,France Ligue 1,2010/2011,22,9853
5675,5676,France,France Ligue 1,2010/2011,22,9831
5676,5677,France,France Ligue 1,2010/2011,22,9851
5677,5678,France,France Ligue 1,2010/2011,22,9941
5679,5680,France,France Ligue 1,2010/2011,23,7819
5680,5681,France,France Ligue 1,2010/2011,23,8639
5681,5682,France,France Ligue 1,2010/2011,23,9829
5682,5683,France,France Ligue 1,2010/2011,23,8481
5684,5685,France,France Ligue 1,2010/2011,23,9851
5685,5686,France,France Ligue 1,2010/2011,23,9748
5686,5687,France,France Ligue 1,2010/2011,23,8592
5687,5688,France,France Ligue 1,2010/2011,23,9873
5689,5690,France,France Ligue 1,2010/2011,24,8521
5691,5692,France,France Ligue 1,2010/2011,24,9874
5692,5693,France,France Ligue 1,2010/2011,24,8689
5693,5694,France,France Ligue 1,2010/2011,24,9748
5694,5695,France,France Ligue 1,2010/2011,24,8592
5695,5696,France,France Ligue 1,2010/2011,24,10249
5696,5697,France,France Ligue 1,2010/2011,24,9847
5697,5698,France,France Ligue 1,2010/2011,24,9851
5699,5700,France,France Ligue 1,2010/2011,25,9827
5702,5703,France,France Ligue 1,2010/2011,25,8592
5703,5704,France,France Ligue 1,2010/2011,25,9847
5704,5705,France,France Ligue 1,2010/2011,25,9851
5705,5706,France,France Ligue 1,2010/2011,25,9831
5708,5709,France,France Ligue 1,2010/2011,26,8583
5709,5710,France,France Ligue 1,2010/2011,26,9827
5710,5711,France,France Ligue 1,2010/2011,26,7819
5712,5713,France,France Ligue 1,2010/2011,26,9748
5713,5714,France,France Ligue 1,2010/2011,26,8639
5714,5715,France,France Ligue 1,2010/2011,26,9851
5716,5717,France,France Ligue 1,2010/2011,26,9874
5719,5720,France,France Ligue 1,2010/2011,27,9829
5720,5721,France,France Ligue 1,2010/2011,27,9941
5721,5722,France,France Ligue 1,2010/2011,27,8639
5722,5723,France,France Ligue 1,2010/2011,27,8481
5723,5724,France,France Ligue 1,2010/2011,27,9831
5725,5726,France,France Ligue 1,2010/2011,27,8592
5726,5727,France,France Ligue 1,2010/2011,27,9853
5727,5728,France,France Ligue 1,2010/2011,27,9748
5728,5729,France,France Ligue 1,2010/2011,28,8583
5729,5730,France,France Ligue 1,2010/2011,28,8639
5730,5731,France,France Ligue 1,2010/2011,28,7819
5733,5734,France,France Ligue 1,2010/2011,28,8592
5734,5735,France,France Ligue 1,2010/2011,28,8481
5735,5736,France,France Ligue 1,2010/2011,28,8588
5738,5739,France,France Ligue 1,2010/2011,29,9829
5739,5740,France,France Ligue 1,2010/2011,29,8592
5740,5741,France,France Ligue 1,2010/2011,29,8639
5746,5747,France,France Ligue 1,2010/2011,29,9874
5747,5748,France,France Ligue 1,2010/2011,29,10249
5750,5751,France,France Ligue 1,2010/2011,3,9748
5751,5752,France,France Ligue 1,2010/2011,3,8592
5754,5755,France,France Ligue 1,2010/2011,3,9827
5757,5758,France,France Ligue 1,2010/2011,3,9941
5760,5761,France,France Ligue 1,2010/2011,30,8521
5761,5762,France,France Ligue 1,2010/2011,30,9847
5763,5764,France,France Ligue 1,2010/2011,30,9748
5765,5766,France,France Ligue 1,2010/2011,30,9829
5768,5769,France,France Ligue 1,2010/2011,31,9873
5771,5772,France,France Ligue 1,2010/2011,31,8592
5772,5773,France,France Ligue 1,2010/2011,31,9831
5773,5774,France,France Ligue 1,2010/2011,31,9847
5774,5775,France,France Ligue 1,2010/2011,31,8689
5775,5776,France,France Ligue 1,2010/2011,31,9853
5776,5777,France,France Ligue 1,2010/2011,31,9874
5777,5778,France,France Ligue 1,2010/2011,31,8583
5779,5780,France,France Ligue 1,2010/2011,32,9827
5783,5784,France,France Ligue 1,2010/2011,32,9748
5784,5785,France,France Ligue 1,2010/2011,32,8592
5785,5786,France,France Ligue 1,2010/2011,32,9829
5788,5789,France,France Ligue 1,2010/2011,33,8689
5789,5790,France,France Ligue 1,2010/2011,33,8639
5792,5793,France,France Ligue 1,2010/2011,33,7819
5793,5794,France,France Ligue 1,2010/2011,33,9847
5796,5797,France,France Ligue 1,2010/2011,33,9874
5797,5798,France,France Ligue 1,2010/2011,33,9941
5798,5799,France,France Ligue 1,2010/2011,34,9853
5799,5800,France,France Ligue 1,2010/2011,34,8583
5800,5801,France,France Ligue 1,2010/2011,34,9874
5804,5805,France,France Ligue 1,2010/2011,34,9748
5806,5807,France,France Ligue 1,2010/2011,34,8639
5807,5808,France,France Ligue 1,2010/2011,34,9873
5808,5809,France,France Ligue 1,2010/2011,35,8583
5809,5810,France,France Ligue 1,2010/2011,35,8588
5810,5811,France,France Ligue 1,2010/2011,35,8592
5811,5812,France,France Ligue 1,2010/2011,35,10249
5812,5813,France,France Ligue 1,2010/2011,35,9831
5815,5816,France,France Ligue 1,2010/2011,35,8639
5816,5817,France,France Ligue 1,2010/2011,35,9874
5818,5819,France,France Ligue 1,2010/2011,36,108893
5819,5820,France,France Ligue 1,2010/2011,36,9827
5821,5822,France,France Ligue 1,2010/2011,36,7819
5822,5823,France,France Ligue 1,2010/2011,36,8639
5825,5826,France,France Ligue 1,2010/2011,36,8481
5826,5827,France,France Ligue 1,2010/2011,36,9851
5828,5829,France,France Ligue 1,2010/2011,37,8521
5829,5830,France,France Ligue 1,2010/2011,37,108893
5832,5833,France,France Ligue 1,2010/2011,37,9829
5833,5834,France,France Ligue 1,2010/2011,37,9831
5835,5836,France,France Ligue 1,2010/2011,37,8481
5836,5837,France,France Ligue 1,2010/2011,37,9874
5837,5838,France,France Ligue 1,2010/2011,37,9941
5838,5839,France,France Ligue 1,2010/2011,38,9874
5839,5840,France,France Ligue 1,2010/2011,38,9827
5840,5841,France,France Ligue 1,2010/2011,38,9941
5842,5843,France,France Ligue 1,2010/2011,38,8639
5843,5844,France,France Ligue 1,2010/2011,38,8583
5844,5845,France,France Ligue 1,2010/2011,38,9748
5845,5846,France,France Ligue 1,2010/2011,38,8481
5847,5848,France,France Ligue 1,2010/2011,38,9873
5848,5849,France,France Ligue 1,2010/2011,4,9851
5850,5851,France,France Ligue 1,2010/2011,4,8521
5852,5853,France,France Ligue 1,2010/2011,4,8689
5853,5854,France,France Ligue 1,2010/2011,4,9829
5854,5855,France,France Ligue 1,2010/2011,4,9941
5855,5856,France,France Ligue 1,2010/2011,4,9853
5856,5857,France,France Ligue 1,2010/2011,4,9874
5857,5858,France,France Ligue 1,2010/2011,4,10249
5860,5861,France,France Ligue 1,2010/2011,5,8639
5863,5864,France,France Ligue 1,2010/2011,5,8481
5864,5865,France,France Ligue 1,2010/2011,5,9831
5865,5866,France,France Ligue 1,2010/2011,5,9847
5866,5867,France,France Ligue 1,2010/2011,5,9851
5867,5868,France,France Ligue 1,2010/2011,5,9853
5868,5869,France,France Ligue 1,2010/2011,6,8592
5869,5870,France,France Ligue 1,2010/2011,6,9827
5870,5871,France,France Ligue 1,2010/2011,6,8639
5871,5872,France,France Ligue 1,2010/2011,6,7819
5873,5874,France,France Ligue 1,2010/2011,6,8521
5875,5876,France,France Ligue 1,2010/2011,6,9853
5876,5877,France,France Ligue 1,2010/2011,6,9874
5879,5880,France,France Ligue 1,2010/2011,7,8521
5881,5882,France,France Ligue 1,2010/2011,7,9847
5882,5883,France,France Ligue 1,2010/2011,7,8689
5883,5884,France,France Ligue 1,2010/2011,7,9853
5884,5885,France,France Ligue 1,2010/2011,7,8592
5885,5886,France,France Ligue 1,2010/2011,7,10249
5886,5887,France,France Ligue 1,2010/2011,7,9851
5888,5889,France,France Ligue 1,2010/2011,8,8583
5889,5890,France,France Ligue 1,2010/2011,8,9827
5890,5891,France,France Ligue 1,2010/2011,8,8639
5891,5892,France,France Ligue 1,2010/2011,8,8521
5892,5893,France,France Ligue 1,2010/2011,8,9748
5894,5895,France,France Ligue 1,2010/2011,8,9851
5896,5897,France,France Ligue 1,2010/2011,8,9874
5897,5898,France,France Ligue 1,2010/2011,8,9873
5898,5899,France,France Ligue 1,2010/2011,9,9827
5902,5903,France,France Ligue 1,2010/2011,9,8689
5903,5904,France,France Ligue 1,2010/2011,9,9748
5904,5905,France,France Ligue 1,2010/2011,9,8592
5905,5906,France,France Ligue 1,2010/2011,9,10249
5906,5907,France,France Ligue 1,2010/2011,9,9831
5907,5908,France,France Ligue 1,2010/2011,9,9847
5908,5909,France,France Ligue 1,2011/2012,1,9941
5909,5910,France,France Ligue 1,2011/2012,1,9853
5911,5912,France,France Ligue 1,2011/2012,1,7819
5912,5913,France,France Ligue 1,2011/2012,1,9851
5914,5915,France,France Ligue 1,2011/2012,1,10249
5916,5917,France,France Ligue 1,2011/2012,1,9748
5917,5918,France,France Ligue 1,2011/2012,1,8689
5918,5919,France,France Ligue 1,2011/2012,10,9847
5919,5920,France,France Ligue 1,2011/2012,10,8639
5921,5922,France,France Ligue 1,2011/2012,10,9853
5922,5923,France,France Ligue 1,2011/2012,10,9748
5923,5924,France,France Ligue 1,2011/2012,10,10249
5924,5925,France,France Ligue 1,2011/2012,10,9831
5925,5926,France,France Ligue 1,2011/2012,10,9851
5927,5928,France,France Ligue 1,2011/2012,10,9873
5928,5929,France,France Ligue 1,2011/2012,11,9851
5930,5931,France,France Ligue 1,2011/2012,11,10249
5931,5932,France,France Ligue 1,2011/2012,11,8639
5933,5934,France,France Ligue 1,2011/2012,11,8592
5934,5935,France,France Ligue 1,2011/2012,11,8481
5935,5936,France,France Ligue 1,2011/2012,11,9847
5936,5937,France,France Ligue 1,2011/2012,11,9853
5938,5939,France,France Ligue 1,2011/2012,12,9827
5939,5940,France,France Ligue 1,2011/2012,12,8521
5940,5941,France,France Ligue 1,2011/2012,12,8592
5941,5942,France,France Ligue 1,2011/2012,12,4087
5942,5943,France,France Ligue 1,2011/2012,12,9748
5943,5944,France,France Ligue 1,2011/2012,12,10249
5945,5946,France,France Ligue 1,2011/2012,12,9847
5946,5947,France,France Ligue 1,2011/2012,12,9941
5948,5949,France,France Ligue 1,2011/2012,13,8583
5950,5951,France,France Ligue 1,2011/2012,13,7819
5952,5953,France,France Ligue 1,2011/2012,13,8689
5953,5954,France,France Ligue 1,2011/2012,13,8592
5954,5955,France,France Ligue 1,2011/2012,13,8481
5957,5958,France,France Ligue 1,2011/2012,13,9874
5959,5960,France,France Ligue 1,2011/2012,14,8521
5960,5961,France,France Ligue 1,2011/2012,14,9836
5961,5962,France,France Ligue 1,2011/2012,14,4087
5962,5963,France,France Ligue 1,2011/2012,14,9851
5963,5964,France,France Ligue 1,2011/2012,14,10249
5964,5965,France,France Ligue 1,2011/2012,14,9853
5965,5966,France,France Ligue 1,2011/2012,14,8481
5967,5968,France,France Ligue 1,2011/2012,14,9873
5968,5969,France,France Ligue 1,2011/2012,15,9748
5969,5970,France,France Ligue 1,2011/2012,15,9827
5970,5971,France,France Ligue 1,2011/2012,15,8639
5971,5972,France,France Ligue 1,2011/2012,15,8689
5972,5973,France,France Ligue 1,2011/2012,15,8592
5973,5974,France,France Ligue 1,2011/2012,15,9836
5974,5975,France,France Ligue 1,2011/2012,15,9851
5975,5976,France,France Ligue 1,2011/2012,15,9853
5976,5977,France,France Ligue 1,2011/2012,15,10249
5977,5978,France,France Ligue 1,2011/2012,15,9941
5978,5979,France,France Ligue 1,2011/2012,16,8639
5979,5980,France,France Ligue 1,2011/2012,16,9827
5981,5982,France,France Ligue 1,2011/2012,16,8592
5983,5984,France,France Ligue 1,2011/2012,16,4087
5984,5985,France,France Ligue 1,2011/2012,16,9748
5985,5986,France,France Ligue 1,2011/2012,16,10249
5986,5987,France,France Ligue 1,2011/2012,16,9831
5987,5988,France,France Ligue 1,2011/2012,16,9847
5988,5989,France,France Ligue 1,2011/2012,17,8583
5989,5990,France,France Ligue 1,2011/2012,17,8639
5990,5991,France,France Ligue 1,2011/2012,17,9748
5994,5995,France,France Ligue 1,2011/2012,17,9853
5995,5996,France,France Ligue 1,2011/2012,17,9847
5996,5997,France,France Ligue 1,2011/2012,17,9941
5997,5998,France,France Ligue 1,2011/2012,17,9873
5998,5999,France,France Ligue 1,2011/2012,18,8576
5999,6000,France,France Ligue 1,2011/2012,18,9827
6000,6001,France,France Ligue 1,2011/2012,18,8521
6001,6002,France,France Ligue 1,2011/2012,18,8481
6002,6003,France,France Ligue 1,2011/2012,18,9853
6003,6004,France,France Ligue 1,2011/2012,18,9748
6004,6005,France,France Ligue 1,2011/2012,18,8592
6006,6007,France,France Ligue 1,2011/2012,18,9831
6009,6010,France,France Ligue 1,2011/2012,19,4087
6012,6013,France,France Ligue 1,2011/2012,19,8592
6013,6014,France,France Ligue 1,2011/2012,19,9851
6014,6015,France,France Ligue 1,2011/2012,19,9847
6015,6016,France,France Ligue 1,2011/2012,19,8576
6017,6018,France,France Ligue 1,2011/2012,19,9873
6019,6020,France,France Ligue 1,2011/2012,2,4087
6020,6021,France,France Ligue 1,2011/2012,2,10249
6024,6025,France,France Ligue 1,2011/2012,2,9853
6025,6026,France,France Ligue 1,2011/2012,2,7819
6026,6027,France,France Ligue 1,2011/2012,2,9941
6028,6029,France,France Ligue 1,2011/2012,20,8576
6029,6030,France,France Ligue 1,2011/2012,20,9827
6030,6031,France,France Ligue 1,2011/2012,20,8521
6031,6032,France,France Ligue 1,2011/2012,20,9851
6032,6033,France,France Ligue 1,2011/2012,20,9836
6033,6034,France,France Ligue 1,2011/2012,20,8592
6034,6035,France,France Ligue 1,2011/2012,20,10249
6036,6037,France,France Ligue 1,2011/2012,20,9847
6037,6038,France,France Ligue 1,2011/2012,20,9853
6038,6039,France,France Ligue 1,2011/2012,21,8481
6039,6040,France,France Ligue 1,2011/2012,21,9847
6041,6042,France,France Ligue 1,2011/2012,21,8639
6043,6044,France,France Ligue 1,2011/2012,21,9748
6044,6045,France,France Ligue 1,2011/2012,21,10249
6045,6046,France,France Ligue 1,2011/2012,21,8592
6046,6047,France,France Ligue 1,2011/2012,21,9941
6047,6048,France,France Ligue 1,2011/2012,21,8576
6049,6050,France,France Ligue 1,2011/2012,22,9827
6050,6051,France,France Ligue 1,2011/2012,22,7819
6051,6052,France,France Ligue 1,2011/2012,22,9873
6053,6054,France,France Ligue 1,2011/2012,22,10249
6055,6056,France,France Ligue 1,2011/2012,22,9847
6056,6057,France,France Ligue 1,2011/2012,22,9853
6057,6058,France,France Ligue 1,2011/2012,22,8639
6060,6061,France,France Ligue 1,2011/2012,23,4087
6061,6062,France,France Ligue 1,2011/2012,23,9827
6062,6063,France,France Ligue 1,2011/2012,23,7819
6063,6064,France,France Ligue 1,2011/2012,23,10249
6065,6066,France,France Ligue 1,2011/2012,23,9851
6066,6067,France,France Ligue 1,2011/2012,23,9853
6067,6068,France,France Ligue 1,2011/2012,23,9873
6069,6070,France,France Ligue 1,2011/2012,24,9827
6071,6072,France,France Ligue 1,2011/2012,24,9836
6072,6073,France,France Ligue 1,2011/2012,24,8639
6074,6075,France,France Ligue 1,2011/2012,24,9941
6076,6077,France,France Ligue 1,2011/2012,24,9853
6078,6079,France,France Ligue 1,2011/2012,25,8576
6080,6081,France,France Ligue 1,2011/2012,25,8521
6081,6082,France,France Ligue 1,2011/2012,25,4087
6083,6084,France,France Ligue 1,2011/2012,25,10249
6084,6085,France,France Ligue 1,2011/2012,25,9831
6086,6087,France,France Ligue 1,2011/2012,25,9941
6087,6088,France,France Ligue 1,2011/2012,25,9873
6088,6089,France,France Ligue 1,2011/2012,26,9831
6092,6093,France,France Ligue 1,2011/2012,26,9851
6093,6094,France,France Ligue 1,2011/2012,26,9941
6094,6095,France,France Ligue 1,2011/2012,26,8481
6095,6096,France,France Ligue 1,2011/2012,26,9847
6096,6097,France,France Ligue 1,2011/2012,26,4087
6098,6099,France,France Ligue 1,2011/2012,27,8576
6099,6100,France,France Ligue 1,2011/2012,27,9827
6100,6101,France,France Ligue 1,2011/2012,27,9847
6101,6102,France,France Ligue 1,2011/2012,27,9874
6102,6103,France,France Ligue 1,2011/2012,27,9748
6103,6104,France,France Ligue 1,2011/2012,27,10249
6107,6108,France,France Ligue 1,2011/2012,27,9853
6108,6109,France,France Ligue 1,2011/2012,28,4087
6111,6112,France,France Ligue 1,2011/2012,28,8639
6112,6113,France,France Ligue 1,2011/2012,28,8689
6113,6114,France,France Ligue 1,2011/2012,28,9836
6114,6115,France,France Ligue 1,2011/2012,28,8481
6115,6116,France,France Ligue 1,2011/2012,28,9941
6116,6117,France,France Ligue 1,2011/2012,28,9748
6117,6118,France,France Ligue 1,2011/2012,28,9874
6119,6120,France,France Ligue 1,2011/2012,29,8481
6120,6121,France,France Ligue 1,2011/2012,29,9836
6121,6122,France,France Ligue 1,2011/2012,29,8639
6122,6123,France,France Ligue 1,2011/2012,29,9748
6123,6124,France,France Ligue 1,2011/2012,29,10249
6126,6127,France,France Ligue 1,2011/2012,29,9941
6127,6128,France,France Ligue 1,2011/2012,29,9873
6131,6132,France,France Ligue 1,2011/2012,3,8639
6132,6133,France,France Ligue 1,2011/2012,3,9836
6134,6135,France,France Ligue 1,2011/2012,3,10249
6135,6136,France,France Ligue 1,2011/2012,3,9874
6137,6138,France,France Ligue 1,2011/2012,3,9847
6138,6139,France,France Ligue 1,2011/2012,30,8583
6141,6142,France,France Ligue 1,2011/2012,30,8639
6142,6143,France,France Ligue 1,2011/2012,30,4087
6143,6144,France,France Ligue 1,2011/2012,30,10249
6144,6145,France,France Ligue 1,2011/2012,30,8481
6146,6147,France,France Ligue 1,2011/2012,30,9831
6147,6148,France,France Ligue 1,2011/2012,30,9874
6149,6150,France,France Ligue 1,2011/2012,31,8521
6150,6151,France,France Ligue 1,2011/2012,31,7819
6151,6152,France,France Ligue 1,2011/2012,31,8481
6152,6153,France,France Ligue 1,2011/2012,31,9851
6153,6154,France,France Ligue 1,2011/2012,31,9748
6154,6155,France,France Ligue 1,2011/2012,31,10249
